1.2.13.1, 0.50, 40.83, 0.01336
1.2.13.2, 0.50, 29.07, 0.01396
1.2.13.3, 0.50, 75.81, 0.00617
1.2.14.1, 0.50, 49.70, 0.01051
1.2.14.2, 0.50, 28.86, 0.01499
1.2.14.3, 0.50, 58.92, 0.01026
1.2.15.1, 0.50, 49.53, 0.01154
1.2.15.2, 0.50, 33.19, 0.01285
1.2.15.3, 0.50, 62.81, 0.00819
1.3.1.1, 0.50, 47.27, 0.01250
1.3.1.2, 0.50, 29.14, 0.02197
1.3.1.3, 0.50, 88.50, 0.00283
1.3.2.1, 0.50, 54.18, 0.01033
1.3.2.2, 0.50, 42.05, 0.01279
1.3.2.3, 0.50, 76.59, 0.00516
1.3.3.1, 0.50, 44.33, 0.01394
1.3.3.2, 0.50, 34.36, 0.01527
1.3.3.3, 0.50, 89.82, 0.00260
1.3.4.1, 0.50, 53.07, 0.01053
1.3.4.2, 0.50, 31.84, 0.01451
1.3.4.3, 0.50, 77.13, 0.00519
1.3.5.1, 0.50, 52.77, 0.01073
1.3.5.2, 0.50, 37.49, 0.01361
1.3.5.3, 0.50, 81.38, 0.00423
1.3.6.1, 0.50, 43.56, 0.01269
1.3.6.2, 0.50, 40.98, 0.01188
1.3.6.3, 0.50, 70.72, 0.00698
1.3.7.1, 0.50, 53.03, 0.00997
1.3.7.2, 0.50, 33.42, 0.01347
1.3.7.3, 0.50, 62.46, 0.00915
1.3.8.1, 0.50, 45.56, 0.01307
1.3.8.2, 0.50, 33.98, 0.01431
1.3.8.3, 0.50, 66.35, 0.00756
1.3.9.1, 0.50, 34.00, 0.01484
1.3.9.2, 0.50, 44.03, 0.01179
1.3.9.3, 0.50, 49.70, 0.01097
1.3.10.1, 0.50, 40.70, 0.01251
1.3.10.2, 0.50, 31.38, 0.01574
1.3.10.3, 0.50, 48.50, 0.01376
1.3.11.1, 0.50, 40.66, 0.01329
1.3.11.2, 0.50, 40.16, 0.01232
1.3.11.3, 0.50, 72.51, 0.00649
1.3.12.1, 0.50, 44.33, 0.01438
1.3.12.2, 0.50, 22.91, 0.01805
1.3.12.3, 0.50, 54.25, 0.01148
1.4.1.1, 0.50, 44.50, 0.01346
1.4.1.2, 0.50, 37.11, 0.01372
1.4.1.3, 0.50, 64.49, 0.00785
1.4.2.1, 0.50, 35.11, 0.01649
1.4.2.2, 0.50, 28.71, 0.02261
1.4.2.3, 0.50, 78.44, 0.00583
1.4.3.1, 0.50, 45.86, 0.01296
1.4.3.2, 0.50, 22.83, 0.02386
1.4.3.3, 0.50, 64.79, 0.00814
1.4.4.1, 0.50, 34.98, 0.01408
1.4.4.2, 0.50, 44.54, 0.01133
1.4.4.3, 0.50, 51.86, 0.01011
1.4.5.1, 0.50, 43.00, 0.01228
1.4.5.2, 0.50, 28.38, 0.01614
1.4.5.3, 0.50, 50.48, 0.01262
1.4.6.1, 0.50, 41.98, 0.01436
1.4.6.2, 0.50, 31.61, 0.01339
1.4.6.3, 0.50, 56.77, 0.00968
1.4.7.1, 0.50, 40.15, 0.01322
1.4.7.2, 0.50, 45.18, 0.01103
1.4.7.3, 0.50, 66.71, 0.00749
1.4.8.1, 0.50, 44.28, 0.01197
1.4.8.2, 0.50, 27.79, 0.01406
1.4.8.3, 0.50, 53.41, 0.01067
1.5.1.1, 0.50, 36.56, 0.01517
1.5.1.2, 0.50, 36.98, 0.01385
1.5.1.3, 0.50, 47.07, 0.01148
1.5.2.1, 0.50, 29.05, 0.01670
1.5.2.2, 0.50, 23.21, 0.01624
1.5.2.3, 0.50, 41.26, 0.01592
1.5.3.1, 0.50, 42.83, 0.01432
1.5.3.2, 0.50, 21.46, 0.02198
1.5.3.3, 0.50, 56.17, 0.00990
1.5.4.1, 0.50, 36.77, 0.01287
1.5.4.2, 0.50, 23.39, 0.01400
1.5.4.3, 0.50, 49.04, 0.01107
2.1.1.1, 0.00, 54.56, 0.00988
2.1.1.2, 0.00, 49.12, 0.01045
2.1.1.3, 0.00, 76.71, 0.00536
2.1.2.1, 0.00, 42.70, 0.01253
2.1.2.2, 0.00, 42.40, 0.01196
2.1.2.3, 0.00, 68.14, 0.00767
2.1.3.1, 0.00, 54.99, 0.00998
2.1.3.2, 0.00, 33.04, 0.01427
2.1.3.3, 0.00, 82.81, 0.00364
2.1.4.1, 0.00, 46.97, 0.01223
2.1.4.2, 0.00, 29.73, 0.02048
2.1.4.3, 0.00, 90.54, 0.00264
2.1.5.1, 0.00, 35.07, 0.01683
2.1.5.2, 0.00, 19.98, 0.02203
2.1.5.3, 0.00, 30.54, 0.01607
2.2.1.1, 0.25, 60.10, 0.00870
2.2.1.2, 0.25, 51.31, 0.01084
